City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Zabid,YE,82.71,clear sky,14.1951,43.3152,مغرب التريبه
394,Umm Lajj,SA,81.61,scattered clouds,25.0213,37.2685,Moon light Furnished Units
413,Nueva Loja,EC,76.48,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
414,Eyl,SO,78.42,broken clouds,7.9803,49.8164,Amiin Hotel
415,Vilhena,BR,84.16,broken clouds,-12.7406,-60.1458,Hotel Mirage
418,Lamu,KE,79.02,light rain,-2.2717,40.902,Lamu House
420,Richards Bay,ZA,76.93,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
421,Pochutla,MX,89.42,few clouds,15.7432,-96.4661,Hotel Posada San Jose
427,Sao Miguel,BR,88.57,few clouds,-5.4667,-35.3667,Maracajaú Reef
431,Kavieng,PG,82.36,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
440,Hobyo,SO,80.38,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
443,Poum,NC,80.51,few clouds,-20.2333,164.0167,Gîte kajeon
445,Atar,MR,82.42,broken clouds,20.5169,-13.0499,Oumou Elghoura
448,Meulaboh,ID,76.77,overcast clouds,4.1363,96.1285,Kost Pria
450,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
460,Pantai Remis,MY,77.4,broken clouds,4.4557,100.6288,Leisure Homestay
461,The Valley,AI,85.86,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
462,Rawson,AR,81.14,clear sky,-43.3002,-65.1023,Hosteria Sampedro
472,Olinda,BR,84.34,overcast clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
473,Carutapera,BR,89.06,broken clouds,-1.195,-46.02,Lidera
475,Buchanan,LR,89.56,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
482,Doha,QA,75.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
488,Bombay,IN,84.18,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
489,Sao Luiz Gonzaga,BR,81.05,clear sky,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
496,Daru,PG,79.63,overcast clouds,-9.0763,143.2092,Daru Lodge
499,Omboue,GA,78.78,overcast clouds,-1.5746,9.2618,Hotel Olako
503,Rio Grande,BR,77.11,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
506,Santa Maria,BR,80.8,clear sky,-29.6842,-53.8069,Hotel Morotin
511,Dhidhdhoo,MV,82.0,overcast clouds,6.8833,73.1,Dhidhoo beach
513,Muisne,EC,80.71,overcast clouds,0.6,-80.0333,Quinta Samay
516,Grand Baie,MU,76.44,few clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
518,Wewak,PG,76.57,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
529,Mecca,SA,78.58,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
536,Mackay,AU,75.04,overcast clouds,-21.15,149.2,International Lodge Motel
537,Tamandare,BR,85.19,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
538,Bac Lieu,VN,78.55,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
541,Ranong,TH,75.29,heavy intensity rain,9.9658,98.6348,Tinidee Hotel@Ranong
546,Astorga,BR,86.4,clear sky,-23.2325,-51.6656,Rancho Jads
552,Savannah Bight,HN,82.45,clear sky,16.45,-85.85,Villa on Dunbar Rock
559,Port Moresby,PG,76.96,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
562,Nikki,BJ,87.89,few clouds,9.9401,3.2108,Hotel John
566,Hervey Bay,AU,77.04,light rain,-25.2986,152.8535,Shelly Bay Resort
567,Pedernales,DO,83.26,broken clouds,18.0384,-71.744,Hotel Costa Marina
573,Mana,GF,84.72,overcast clouds,5.6592,-53.7767,LE SAMANA
574,Cachoeira Do Sul,BR,84.43,few clouds,-30.0392,-52.8939,Rede Bonnel Tropical Hotel Confort
576,Chiredzi,ZW,86.5,scattered clouds,-21.05,31.6667,Clevers Hotel Chiredzi
586,Treinta Y Tres,UY,77.61,few clouds,-33.2333,-54.3833,Jardines Apart-Hotel
590,Cordoba,AR,88.65,few clouds,-31.4135,-64.1811,Hotel Sussex
591,Mineiros,BR,81.05,broken clouds,-17.5694,-52.5511,Pilões Palace Hotel
593,Rio Tuba,PH,80.33,overcast clouds,8.5061,117.4317,Jjas Pension House
599,Ampanihy,MG,76.01,clear sky,-24.7,44.75,Angora Hotel
601,Seaforth,JM,85.05,overcast clouds,17.9358,-76.4573,"Stewart Field, Seaforth P.O., St. Thomas"
607,Kattivakkam,IN,82.49,broken clouds,13.2167,80.3167,Euronova Freezer
610,Dingle,PH,75.34,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
616,Coahuayana,MX,85.48,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
622,Caravelas,BR,78.98,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
624,Moroni,KM,79.36,scattered clouds,-11.7022,43.2551,Hotel les Arcades
627,Agbor,NG,84.6,scattered clouds,6.2518,6.1934,MIRAMAS HOTEL
630,La Plata,AR,79.03,clear sky,-34.9215,-57.9545,Hotel Corregidor
634,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
639,Voh,NC,76.06,clear sky,-20.9667,164.7,Le gîte du Koniambo
642,Cacu,BR,82.72,overcast clouds,-18.5567,-51.1308,Império Hotel
645,Mirador,BR,89.01,light rain,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
651,Matara,LK,76.78,few clouds,5.9485,80.5353,Amaloh Boutique Resort
656,Urucui,BR,89.85,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
658,Mont-Dore,NC,80.01,few clouds,-22.2833,166.5833,GIte
660,Noumea,NC,80.01,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
665,Tchollire,CM,85.91,broken clouds,8.4022,14.1698,"Auberge ""l'amicale"""
668,Nicoya,CR,83.75,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
