City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Cayenne,GF,4.9333,-52.3333,86.04,86,75,1.01,broken clouds
317,Gamba,GA,-2.65,10.0,78.12,82,92,5.79,overcast clouds
318,Mtwara,TZ,-10.2667,40.1833,81.73,78,40,11.5,scattered clouds
319,Havoysund,NO,70.9963,24.6622,18.48,80,62,15.77,broken clouds
320,Christchurch,NZ,-43.5333,172.6333,52.48,93,94,3.44,overcast clouds
321,Lompoc,US,34.6391,-120.4579,71.42,29,0,2.35,clear sky
322,Sur,OM,22.5667,59.5289,75.69,64,1,3.0,clear sky
323,Dar Es Salaam,TZ,-6.8235,39.2695,79.61,80,53,6.02,broken clouds
324,Comodoro Rivadavia,AR,-45.8667,-67.5,66.94,46,2,10.92,clear sky
325,Caruray,PH,10.3094,119.0128,79.48,84,100,1.45,overcast clouds
326,Moree,AU,-29.4667,149.85,66.22,94,90,10.36,light rain
327,Atasu,KZ,48.6814,71.6433,13.35,90,88,4.21,overcast clouds
328,Broome,US,42.2506,-75.833,35.38,76,90,4.0,light snow
329,Alexandria,EG,31.2156,29.9553,71.56,60,40,10.36,scattered clouds
330,Manyana,BW,-23.4,21.7167,87.94,18,2,1.77,clear sky
331,Honiara,SB,-9.4333,159.95,78.66,85,48,0.47,scattered clouds
332,Compiegne,FR,49.4179,2.8261,48.88,84,100,17.11,overcast clouds
333,Sinnamary,GF,5.3833,-52.95,81.86,83,100,9.37,overcast clouds
334,Kabarnet,KE,0.4919,35.743,61.3,76,97,3.69,overcast clouds
335,Altay,CN,47.8667,88.1167,16.61,59,13,7.83,few clouds
336,Encruzilhada Do Sul,BR,-30.5439,-52.5219,77.36,42,29,12.3,scattered clouds
337,Klaksvik,FO,62.2266,-6.589,34.72,69,100,13.49,overcast clouds
338,Toora-Khem,RU,52.4675,96.11,1.62,98,87,1.52,overcast clouds
339,Mahon,ES,39.8885,4.2658,52.36,76,20,4.61,few clouds
340,Sopotnica,MK,41.2947,21.155,30.56,94,73,4.5,broken clouds
341,Dudinka,RU,69.4058,86.1778,-18.87,96,25,11.01,scattered clouds
342,San Bartolo,MX,19.1833,-100.05,63.82,59,27,4.63,scattered clouds
343,Auki,SB,-8.7676,160.7034,78.87,85,91,4.38,overcast clouds
344,Lazo,RU,43.3817,133.9014,20.71,92,100,9.82,overcast clouds
345,Gwembe,ZM,-16.4975,27.6069,78.66,24,6,2.17,clear sky
346,Okhotsk,RU,59.3833,143.3,-18.9,86,2,13.56,clear sky
347,Douglas,US,41.3,-96.167,51.66,64,40,1.01,scattered clouds
348,Shingu,JP,33.7333,135.9833,63.91,96,100,20.62,moderate rain
